frame;red;green;blue
190;97.457199211;91.6686390533;77.5345167653
191;102.086009598;96.5902547065;80.892211148
192;102.087117017;96.7589516427;80.7353266888
193;103.668742432;98.7533298737;82.8036671856
194;102.735815603;97.6393617021;82.0913120567
195;103.304927631;98.1749878029;83.7815905025
196;103.301518088;98.4016472868;83.3438307494
197;101.316237888;95.8531573672;80.9644169729
198;101.155256518;96.0869638352;80.7666947014
199;99.273446911;94.6750989503;79.9249698847
200;98.7418572419;94.8563756064;79.1616424116
201;97.5503226932;92.6487005058;78.36856794
202;97.7226264726;92.9501039501;78.0913028413
203;96.9980812838;91.6991104134;77.5627071341
204;97.2881562882;91.5231118088;77.4264782836
205;97.3925;92.3345;76.9891666667
206;97.3941666667;92.2998333333;77.1495
207;96.2810526316;90.6471929825;75.6942105263
208;96.4136842105;90.9715789474;75.2998245614
209;96.5248344371;91.3925496689;75.7794701987
210;96.4882450331;91.4562913907;75.7723509934
211;97.2555322242;91.8410596026;76.2468098853
212;97.3414634146;91.9037312227;76.08625424
213;96.7002307185;90.9227092947;75.4055702044
214;96.8495662138;91.0844655426;75.7477492225
215;96.422;90.1796666667;75.6696666667
216;96.443;90.285;75.789
217;95.939439946;89.9509109312;75.2103576248
218;96.5464052288;90.9222222222;75.8571895425
219;95.5909539474;90.5169407895;75.4169407895
220;95.8195723684;90.6824013158;75.0008223684
221;101.821192053;98.2293046358;80.9102649007
222;101.716390728;98.2476821192;81.1488410596
223;108.38677686;106.922520661;88.3652892562
224;108.228305785;106.892355372;88.216322314
225;105.186710004;103.489707476;88.1809317443
226;105.891789763;104.223978014;89.3548608726
227;93.9871794872;90.3724696356;77.9176788124
228;93.2820512821;90.7955465587;77.8846153846
229;93.7187301587;90.860952381;78.3892063492
230;93.8806349206;90.8057142857;79.5466666667
231;95.8883101852;93.1846064815;82.0480324074
232;95.9079861111;93.3871527778;81.9635416667
233;94.9376417234;93.268707483;81.5289115646
234;95.1950113379;93.2074829932;81.2987528345
235;95.1853741497;93.0221088435;81.2624716553
236;95.0221088435;93.2307256236;81.2397959184
237;94.1039952996;91.6169212691;80.2708578143
238;94.8953421507;92.4634847614;81.0166762507
239;94.0070921986;91.8308783415;79.73867976
240;93.8745226405;91.6961265685;79.6104746318
241;95.3510526316;92.9952631579;80.8742105263
242;95.35;92.9942105263;80.8731578947
243;94.1543803419;91.9738247863;79.5518162393
244;94.1495726496;91.9829059829;79.5363247863
245;95.9155;93.1595;81.5815
246;96.0075;93.1965;81.4655
247;96.3712195122;93.8170731707;81.3692682927
248;95.851;93.267;81.007
249;97.0384259259;94.3458333333;82.9717592593
250;96.8282407407;94.1023148148;82.7726851852
251;96.4842592593;93.8944444444;82.8953703704
252;96.4875;93.8976851852;82.900462963
253;97.1228070175;94.2631578947;83.8840393667
254;97.2100984168;94.3804022251;83.755669662
255;95.2046703297;92.4409340659;81.4885531136
256;94.8763736264;92.739010989;80.771978022
257;94.9317160827;92.7659478886;80.6486972147
258;95.4337028825;93.42172949;81.5529933481
259;93.9703504043;92.2506738544;80.2210242588
260;94.312856516;92.9153137341;80.9425186485
261;94.4431216931;92.8558201058;80.9281305115
262;94.487654321;92.6746031746;81.2760141093
263;93.7792811839;90.9860465116;80.5019027484
264;93.6554694229;90.3479758829;80.5822566753
265;93.1220779221;89.5948051948;76.0957328386
266;93.5354532164;90.6527777778;77.0153508772
267;92.9182389937;88.2684748428;73.9732704403
268;92.4681490385;87.6243990385;73.1560496795
269;91.3635305851;86.0478723404;71.3472406915
270;91.7247237341;86.0717466601;71.1909945571
271;93.3495440729;87.8463663996;71.8205305333
272;93.8079004329;88.413961039;71.9793019481
273;95.3910192974;90.0884463137;74.0372340426
274;95.414893617;90.3097334312;74.0240890193
275;95.869858156;90.4869976359;74.6138297872
276;96.3260416667;91.159837963;75.0952546296
277;96.420629529;91.2125226449;75.7587182971
278;96.5979393116;91.3223505435;75.5526494565
279;97.0662702703;92.4527567568;76.0589189189
280;96.4977385549;92.2236072808;75.2573634859
281;96.7136238279;92.4510755654;75.6483177055
282;97.5265591398;92.5983870968;76.4241935484
283;97.7609311104;93.0235923246;77.7162629758
284;97.6135357369;92.999789163;77.1870124394
285;97.7508960573;92.8048703352;77.2413029728
286;97.8195235083;92.8388150959;77.2245414295
287;97.6966666667;92.5910752688;76.9059139785
288;97.5784946237;92.7161290323;76.6047311828
289;97.821537171;93.116179092;77.7163678306
290;98.0754954388;93.2272202999;77.5278389431
291;97.9185106383;93.1219148936;78.6593617021
292;98.1682311222;93.4513975803;78.5486024197
293;97.6267741935;92.3982795699;77.9644086022
294;97.5865591398;92.4676344086;77.9444086022
295;97.3741621622;91.9278918919;77.823027027
296;97.5484946237;92.0558064516;77.9532258065
297;98.5416666667;92.7267689685;79.2982736573
298;98.5293052003;92.7359335038;79.1062446718
299;97.243552366;91.4653509756;77.4846378112
300;98.1240217391;92.5383695652;78.5035869565
301;98.522826087;92.7273913043;78.8706521739
302;98.7086956522;93.022173913;78.85
303;100.539016393;95.6310382514;81.2896174863
304;100.646775956;95.7081967213;81.1368306011
305;99.5368013972;94.2261726547;76.9694361277
306;99.870829769;94.6441402908;77.8917267506
307;99.3908738124;94.7387929881;76.9775190686
308;99.3919443329;94.815870467;77.0272982738
309;97.9119318182;92.238187799;75.4298744019
310;98.0336423445;92.3718600478;74.9439294258
311;97.2546382189;92.0125231911;75.3628633271
312;97.254174397;92.1570810142;75.0936920223
313;96.2531827147;90.4387663618;74.7651066882
314;96.2608929532;90.5185583647;75.0095033172
315;95.0770557792;90.0331608204;74.4153728196
316;95.0877426722;90.0846973734;74.4368100495
317;95.3451720311;89.3956714761;73.06381798
318;95.2300221976;89.3493340733;72.8177025527
319;94.9487983281;88.9627307558;72.4238941135
320;94.406052076;89.2821956369;72.5130190007
321;95.6769293924;90.0972906404;73.4683908046
322;94.9827586207;89.6473013493;73.1941529235
323;95.5074074074;89.3990740741;73.8902777778
324;95.5572115385;89.4908653846;73.7264423077
325;97.4908571429;91.1748571429;76.5108571429
326;97.8503688093;91.3371970495;77.1475237092
327;110.013186813;106.413186813;88.1450549451
328;110.260180995;106.902714932;89.0316742081
329;None;None;None
330;None;None;None
331;None;None;None
332;None;None;None
333;79.5909090909;71.3939393939;61.8333333333
334;79.9558080808;71.3901515152;62.3901515152
335;83.7108108108;76.2243243243;66.0981981982
336;83.6212121212;76.4471861472;65.3692640693
337;86.4461898396;79.6968582888;67.503342246
338;87.1113636364;80.3788961039;67.7753246753
339;88.6362382791;82.4293987865;67.3185328185
340;89.0612298072;83.3639916623;66.7569046378
341;90.1265243902;84.7672764228;69.6656504065
342;90.7621527778;85.3772321429;70.6837797619
343;93.2879561354;88.0478351295;72.488372093
344;93.6794019934;88.2233296419;72.3903654485
345;95.0558833738;89.6799722319;73.9295383547
346;95.0032730405;89.8523686477;74.1831180017
347;95.9411075791;90.809268864;75.07160783
348;95.9916345993;90.8725112933;74.8955997992
349;96.8198517021;91.0948769801;75.6853724301
350;96.8837209302;91.130834867;75.8633093525
351;97.3849579416;91.9985155863;76.5670460168
352;97.5912914399;91.8688767937;76.5619330365
353;97.3954745019;92.1212428234;76.1057075312
354;97.3289429247;92.1506247889;76.2553191489
355;98.1621073961;92.8080040527;77.5802093887
356;98.249711364;93.0712518555;77.4703941943
357;97.3668915413;92.3207057602;77.1103615291
358;97.6182033097;92.5915231341;77.1889564336
359;98.3644039176;92.7389395475;77.6285038838
360;98.268321513;92.8009118541;77.456771361
361;97.9154761905;92.6918367347;77.0465986395
362;97.735525865;92.4859540939;76.7971908188
363;96.6382978723;90.9587977035;75.6818642351
364;96.5491388045;90.7825059102;75.7338736913
365;97.1922698985;91.2400917131;75.9882083197
