frame;x;y
898;711;651
899;713;651
900;713;652
901;715;652
902;715;652
903;717;653
904;717;653
905;719;654
906;719;654
907;721;655
908;721;655
909;724;656
910;724;656
911;726;657
912;726;657
913;730;657
914;731;657
915;738;655
916;738;656
917;744;654
918;744;654
919;752;653
920;752;653
921;759;653
922;759;653
923;768;652
924;767;652
925;774;652
926;774;652
927;781;651
928;781;651
929;787;651
930;787;651
931;793;651
932;793;651
933;798;652
934;798;652
935;804;652
936;804;652
937;809;653
938;809;653
939;814;653
940;814;653
941;818;654
942;819;654
943;822;655
944;822;655
945;827;656
946;826;655
947;831;656
948;831;656
949;834;657
950;834;657
951;838;658
952;838;658
953;841;659
954;842;659
955;845;660
956;845;660
957;848;661
958;848;661
959;851;663
960;851;663
961;854;664
962;854;664
963;857;665
964;857;665
965;860;666
966;860;666
967;863;667
968;862;667
969;868;665
970;868;665
971;876;662
972;876;662
973;888;660
974;888;660
975;898;658
976;899;658
977;909;657
978;909;657
979;918;656
980;918;656
981;925;655
982;925;655
983;932;654
984;932;654
985;939;654
986;938;654
987;945;653
988;945;653
989;950;653
990;950;653
991;955;653
992;956;653
993;960;653
994;960;653
995;965;654
996;965;654
997;969;654
998;969;654
999;974;654
1000;974;654
1001;978;655
1002;978;655
1003;981;655
1004;982;655
1005;985;656
1006;985;656
1007;988;657
1008;988;657
1009;992;658
1010;992;658
1011;995;658
1012;995;658
1013;998;659
1014;998;659
1015;1001;660
1016;1001;660
1017;1003;660
1018;1004;660
1019;1007;660
1020;1007;660
1021;1010;660
1022;1010;660
1023;1014;660
1024;1015;660
1025;1018;661
1026;1018;661
1027;1021;662
1028;1021;662
1029;1024;663
1030;1024;663
1031;1027;663
1032;1027;663
1033;1030;665
1034;1030;665
1035;1033;666
1036;1033;666
1037;1036;667
1038;1036;667
1039;1038;668
1040;1038;668
1041;1041;670
1042;1041;670
1043;1043;671
1044;1043;671
1045;1045;672
1046;1045;672
1047;1045;673
1048;1046;673
1049;1049;673
1050;1049;673
1051;1054;673
1052;1054;673
1053;1057;674
1054;1057;674
1055;1061;675
1056;1061;675
1057;1064;675
1058;1064;675
1059;1066;676
1060;1066;676
1061;1068;677
1062;1068;677
1063;1070;679
1064;1070;679
1065;1072;681
1066;1072;681
1067;1072;682
1068;1072;682
1069;1073;684
1070;1073;684
1071;1073;685
1072;1073;685
1073;1073;687
1074;1073;687
1075;1073;688
1076;1073;688
1077;1071;689
1078;1070;689
1079;1067;691
1080;1067;691
1081;1063;692
1082;1063;693
1083;1059;693
1084;1059;693
1085;1055;693
1086;1055;693
1087;1052;694
1088;1052;693
1089;1049;694
1090;1048;694
1091;1046;695
1092;1045;695
1093;1042;697
1094;1042;697
1095;1038;697
1096;1038;698
1097;1035;699
1098;1035;699
1099;1031;700
1100;1031;700
1101;1029;701
1102;1028;701
1103;1025;703
1104;1025;703
1105;1022;704
1106;1022;704
1107;1019;706
1108;1020;706
1109;1016;707
1110;1016;707
1111;1014;709
1112;1014;709
1113;1011;711
1114;1011;711
1115;1008;712
1116;1008;712
1117;1005;713
1118;1006;714
1119;1001;715
1120;1001;715
1121;995;716
1122;996;716
1123;991;717
1124;991;717
1125;987;717
1126;987;717
1127;983;718
1128;982;718
1129;978;719
1130;978;719
1131;974;720
1132;973;720
1133;968;721
1134;968;721
1135;964;722
1136;964;722
1137;960;723
1138;960;723
1139;956;724
1140;956;724
1141;952;726
1142;952;726
1143;948;727
1144;948;727
1145;944;728
1146;944;729
1147;941;730
1148;941;730
1149;937;731
1150;937;731
1151;934;733
1152;934;733
1153;930;733
1154;929;732
1155;926;730
1156;926;731
1157;921;730
1158;921;729
1159;918;729
1160;918;729
1161;914;729
1162;913;729
1163;910;728
1164;910;728
1165;906;728
1166;906;728
1167;903;729
1168;902;729
1169;899;729
1170;899;729
1171;896;729
1172;895;729
1173;893;728
1174;893;728
1175;891;727
1176;891;727
1177;888;727
1178;888;727
1179;886;726
1180;886;726
1181;883;727
1182;883;727
1183;881;727
1184;881;727
1185;879;727
1186;879;727
1187;877;728
1188;876;728
1189;873;728
1190;873;728
1191;871;729
1192;871;729
1193;870;730
1194;870;730
1195;869;730
1196;869;730
1197;868;730
1198;868;730
1199;867;729
1200;867;729
1201;866;728
1202;865;728
1203;863;727
1204;863;727
1205;860;727
1206;859;727
1207;858;726
1208;858;726
1209;855;726
1210;855;726
1211;852;726
1212;852;726
1213;850;726
1214;850;726
1215;849;726
1216;849;726
1217;846;726
1218;846;726
1219;844;726
1220;844;726
1221;844;726
1222;844;726
1223;843;726
1224;843;726
1225;842;726
1226;842;726
1227;840;726
1228;840;726
1229;839;727
1230;839;727
1231;838;727
1232;838;727
1233;836;728
1234;836;728
1235;835;728
1236;835;728
1237;834;730
1238;834;730
1239;833;730
1240;833;730
1241;832;731
1242;832;731
1243;833;732
1244;833;732
1245;831;732
1246;831;732
1247;828;731
1248;828;731
1249;826;730
1250;826;730
1251;824;730
1252;824;730
1253;823;730
1254;822;730
1255;821;730
1256;821;730
1257;820;730
1258;819;730
1259;818;730
1260;818;730
1261;817;730
1262;817;730
1263;815;730
1264;815;730
1265;814;730
1266;814;730
1267;814;731
1268;814;731
1269;817;734
1270;817;734
1271;811;732
1272;811;732
1273;810;727
1274;810;727
1275;811;724
1276;811;724
1277;813;723
1278;813;723
1279;815;722
1280;815;722
1281;817;721
1282;818;721
1283;819;720
1284;819;720
1285;822;719
1286;822;719
1287;823;719
1288;823;719
1289;825;718
1290;825;718
1291;827;718
1292;827;718
1293;829;718
1294;829;718
1295;831;718
1296;831;718
1297;833;717
1298;833;717
1299;835;717
1300;835;717
1301;837;718
1302;837;718
1303;838;718
1304;838;718
1305;840;718
1306;839;718
1307;841;719
1308;841;719
1309;843;719
1310;843;719
1311;845;720
1312;845;720
1313;848;719
1314;848;719
1315;851;716
1316;852;716
1317;854;713
1318;854;713
1319;856;712
1320;856;712
1321;858;711
1322;859;711
1323;862;711
1324;862;711
1325;864;710
1326;864;710
1327;867;710
1328;867;710
1329;871;709
1330;871;709
1331;873;709
1332;873;709
1333;876;709
1334;876;709
1335;879;709
1336;879;709
1337;881;709
1338;881;709
1339;883;709
1340;883;709
1341;886;710
1342;886;710
1343;889;710
1344;889;710
1345;898;708
1346;898;708
1347;905;705
1348;905;705
1349;911;703
1350;911;703
1351;918;701
1352;918;701
1353;926;700
1354;926;700
1355;934;698
1356;934;698
1357;941;698
1358;941;698
1359;948;697
1360;948;697
1361;954;697
1362;954;697
1363;959;696
1364;960;696
1365;964;696
1366;964;696
1367;969;696
1368;969;696
1369;973;696
1370;973;696
1371;977;696
1372;977;696
1373;981;696
1374;981;696
1375;984;697
1376;985;697
1377;988;697
1378;988;697
1379;991;698
1380;991;698
1381;994;698
1382;994;698
1383;997;699
1384;997;699
1385;1001;698
1386;1001;698
1387;1007;697
1388;1008;697
1389;1014;696
1390;1014;696
1391;1020;695
1392;1020;695
1393;1026;695
1394;1026;695
1395;1031;695
1396;1031;695
1397;1035;695
1398;1035;695
1399;1039;695
1400;1039;695
1401;1042;696
1402;1042;696
1403;1046;697
1404;1046;697
1405;1048;698
1406;1048;698
1407;1051;698
1408;1051;698
1409;1054;700
1410;1054;700
1411;1056;700
1412;1056;700
1413;1058;701
1414;1058;701
1415;1059;702
1416;1060;702
1417;1058;701
1418;1058;701
1419;1063;699
1420;1063;700
1421;1065;701
1422;1065;701
1423;1063;702
1424;1063;702
1425;1061;702
1426;1061;702
1427;1059;702
1428;1058;702
1429;1056;702
1430;1056;702
1431;1054;702
1432;1054;702
1433;1051;703
1434;1051;703
1435;1049;703
1436;1049;703
1437;1047;703
1438;1047;703
1439;1046;704
1440;1046;704
1441;1044;705
1442;1043;706
1443;1042;705
1444;1042;705
1445;1040;706
1446;1040;706
1447;1038;707
1448;1038;707
1449;1037;709
1450;1036;709
1451;1030;711
1452;1030;711
