frame;red;green;blue
111;85.2570257611;81.2362412178;63.4399882904
112;82.4833877996;78.712962963;59.9319172113
113;84.6472955975;81.9127044025;64.3378616352
114;86.8246987952;84.9014056225;68.5475903614
115;83.0254091301;80.4732988803;63.5137812231
116;84.4202679343;81.687337943;64.9604580812
117;86.7571810883;84.4888492417;68.9129348796
118;83.8598281418;81.306301468;65.5318653777
119;84.9445283019;82.3622641509;65.5218867925
120;87.9181904161;85.612704918;70.0556431274
121;84.4880390836;81.777796496;65.6490902965
122;87.0280373832;85.468556946;67.6266434342
123;88.8114015655;87.1900753212;70.972529907
124;86.9485696896;84.976567255;68.3667072428
125;87.3161616162;85.0813131313;67.9755892256
126;89.4505981391;87.6814355339;71.8625018461
127;86.9529252519;84.528650925;69.0678297488
128;87.7438924414;85.2198721102;68.746351861
129;91.0203683036;89.0552455357;74.2625558036
130;87.8680875576;85.7439516129;70.2350230415
131;89.5595725995;87.3458723653;71.1772540984
132;90.6454646018;88.747925885;72.6667588496
133;90.1237631074;87.9446167479;72.1072219761
134;90.5512932287;88.1559139785;72.577157803
135;90.9781209781;88.836979837;73.5373945374
136;90.9801229801;88.76004576;73.4207064207
137;98.839010989;97.8163461538;81.6065934066
138;98.6183035714;97.4112723214;80.8962053571
139;97.378962963;95.3122962963;77.2293333333
140;97.8017454545;95.9272727273;77.0469818182
141;96.54135451;93.7042253521;74.8374288283
142;96.9190307329;94.0647163121;75.2476359338
143;100.421794872;98.0744871795;80.3448717949
144;101.080754717;98.5046540881;81.0896855346
145;101.367179487;98.3651282051;80.6525641026
146;100.283589946;98.0761942361;79.7460192131
147;101.225161205;98.9536781155;80.7096986446
148;101.566127122;98.9661797605;80.7071983156
149;101.762851086;98.7702702703;80.848436672
150;101.939851616;98.5177530472;81.2138314785
151;102.45547238;98.8433144037;82.7879452762
152;102.752194115;98.8196954053;82.9197212184
153;104.021498771;100.439434889;85.0011056511
154;104.107002457;100.364987715;85.32002457
155;105.134934652;101.121982809;86.8437536795
156;105.420620227;101.578685489;87.4627401065
157;105.388010465;102.328745308;87.6518029803
158;105.854809843;102.502684564;88.6677852349
159;105.864317673;102.816331096;88.5761744966
160;105.645190157;103.127852349;88.2127516779
161;106.338602151;104.260537634;89.9637634409
162;105.906666667;103.475555556;89.6617777778
163;107.254750845;104.620038007;91.0535261824
164;107.140519426;104.69140625;91.0680954392
165;107.391043203;105.133298209;91.3638566913
166;107.868686869;105.376004947;92.172541744
167;107.794961735;104.546875;91.3619260204
168;107.183781449;104.51452327;90.9119965446
169;107.7984375;105.638020833;91.0996875
170;107.56748695;105.143283264;90.778203899
171;108.217671518;105.651975052;91.4392931393
172;108.201975052;105.611746362;91.4830561331
173;108.770384615;106.942307692;92.4180769231
174;107.822212838;105.206503378;91.3084881757
175;110.003479853;107.577106227;93.9653846154
176;109.763222576;107.783978152;93.6371415567
177;108.231649969;106.438765079;91.8082191781
178;109.786796537;108.252705628;93.4657287157
179;110.472514006;108.756477591;94.787640056
180;110.209754797;108.5507285;94.3510127932
181;108.880502532;107.42335411;93.1128749513
182;109.054927931;107.446630308;93.3467082197
183;109.883687259;107.655694981;94.3325289575
184;109.474218673;107.25140491;93.696342305
185;108.826830732;107.068327331;92.8132252901
186;108.970094749;107.237564153;93.0474733518
187;109.043478261;106.855171054;93.11042098
188;111.140422078;109.686363636;95.9930194805
189;110.81286596;109.329561639;95.7976736825
190;110.979478777;109.607911985;96.0326935081
191;111.896235704;109.867605847;97.1749602363
192;111.858820889;110.180083795;97.1229238366
193;112.100080533;110.497620616;97.535837177
194;112.028514589;110.440981432;97.3715738285
195;112.885758472;111.147054868;99.2901425498
196;112.90034965;111.334588488;98.7973372781
197;113.535260842;111.930358265;99.7818981772
198;112.959745628;111.981685215;99.1587281399
199;111.850935829;111.480013369;97.9733957219
200;111.325672043;111.715322581;97.323655914
201;108.503700516;107.153098107;92.9532702238
202;111.396343085;111.085837766;97.4008643617
203;108.223593964;106.640775034;92.6112825789
204;108.482191547;106.680044308;92.8146728016
