frame;x;y
975;877;663
976;877;663
977;889;661
978;895;659
979;902;659
980;900;659
981;906;658
982;907;658
983;913;657
984;914;657
985;917;657
986;919;657
987;924;657
988;922;657
989;928;657
990;927;657
991;934;657
992;934;657
993;938;657
994;939;657
995;943;657
996;943;657
997;946;657
998;947;658
999;951;658
1000;951;658
1001;957;658
1002;958;659
1003;961;659
1004;960;659
1005;963;660
1006;965;660
1007;969;661
1008;969;661
1009;972;661
1010;973;662
1011;976;662
1012;976;662
1013;979;663
1014;980;663
1015;982;664
1016;982;664
1017;984;664
1018;984;664
1019;986;664
1020;987;664
1021;988;663
1022;988;664
1023;991;664
1024;992;664
1025;995;664
1026;994;664
1027;998;665
1028;998;665
1029;1001;665
1030;1002;665
1031;1005;666
1032;1005;666
1033;1007;667
1034;1007;667
1035;1010;668
1036;1010;668
1037;1012;669
1038;1012;669
1039;1015;670
1040;1014;670
1041;1017;671
1042;1017;671
1043;1018;672
1044;1019;672
1045;1020;674
1046;1020;674
1047;1018;675
1048;1019;675
1049;1021;675
1050;1021;675
1051;1024;676
1052;1024;676
1053;1028;676
1054;1028;676
1055;1031;676
1056;1032;676
1057;1034;677
1058;1035;677
1059;1040;678
1060;1040;679
1061;1042;679
1062;1042;679
1063;1047;682
1064;1047;682
1065;1050;684
1066;1049;684
1067;1053;684
1068;1054;684
1069;1056;686
1070;1056;686
1071;1059;687
1072;1060;687
1073;1061;689
1074;1062;689
1075;1064;690
1076;1064;690
1077;1065;690
1078;1065;690
1079;1065;691
1080;1065;691
1081;1064;693
1082;1065;693
1083;1064;694
1084;1064;694
1085;1062;696
1086;1062;696
1087;1060;697
1088;1060;697
1089;1057;698
1090;1057;698
1091;1055;698
1092;1055;698
1093;1052;700
1094;1052;700
1095;1051;700
1096;1051;700
1097;1049;701
1098;1049;701
1099;1047;702
1100;1047;702
1101;1045;703
1102;1045;703
1103;1042;704
1104;1042;704
1105;1041;705
1106;1041;705
1107;1039;707
1108;1039;707
1109;1037;708
1110;1037;708
1111;1035;710
1112;1034;710
1113;1034;711
1114;1032;712
1115;1030;713
1116;1030;713
1117;1029;715
1118;1027;715
1119;1022;716
1120;1021;717
1121;1014;717
1122;1014;717
1123;1007;719
1124;1008;719
1125;1003;720
1126;1003;720
1127;1000;720
1128;999;721
1129;996;721
1130;996;721
1131;993;722
1132;992;722
1133;989;723
1134;988;723
1135;985;723
1136;985;724
1137;981;724
1138;981;724
1139;977;725
1140;977;725
1141;974;726
1142;973;726
1143;970;727
1144;970;727
1145;967;728
1146;967;729
1147;963;730
1148;963;730
1149;960;731
1150;960;731
1151;956;733
1152;956;733
1153;951;733
1154;951;733
1155;948;732
1156;947;733
1157;945;733
1158;944;733
1159;940;733
1160;940;733
1161;936;733
1162;936;733
1163;932;732
1164;931;732
1165;929;732
1166;928;732
1167;924;732
1168;924;732
1169;921;733
1170;921;733
1171;918;733
1172;918;733
1173;915;733
1174;914;733
1175;912;732
1176;912;732
1177;910;731
1178;910;731
1179;908;731
1180;908;731
1181;906;731
1182;905;732
1183;903;732
1184;903;732
1185;901;732
1186;900;732
1187;897;733
1188;898;733
1189;896;734
1190;895;734
1191;892;734
1192;892;734
1193;891;735
1194;890;736
1195;889;736
1196;889;736
1197;887;737
1198;887;736
1199;886;736
1200;886;736
1201;885;736
1202;884;736
1203;884;736
1204;883;736
1205;881;736
1206;881;735
1207;879;735
1208;878;735
1209;878;735
1210;877;734
1211;875;734
1212;875;735
1213;873;734
1214;873;734
1215;871;734
1216;871;734
1217;869;735
1218;869;735
1219;867;735
1220;867;735
1221;864;735
1222;864;735
1223;864;735
1224;864;735
1225;863;735
1226;863;735
1227;862;735
1228;863;735
1229;862;735
1230;862;735
1231;862;736
1232;861;736
1233;860;737
1234;859;737
1235;858;738
1236;858;738
1237;856;739
1238;856;739
1239;855;740
1240;855;740
1241;854;741
1242;854;741
1243;855;742
1244;855;742
1245;855;742
1246;856;742
1247;855;741
1248;855;741
1249;853;741
1250;852;742
1251;852;742
1252;851;742
1253;848;743
1254;848;743
1255;848;743
1256;847;743
1257;846;744
1258;845;744
1259;844;745
1260;844;745
1261;842;745
1262;842;745
1263;840;746
1264;839;745
1265;837;746
1266;837;746
1267;836;747
1268;835;746
1269;833;746
1270;833;746
1271;832;747
1272;832;747
1273;826;746
1274;827;746
1275;821;745
1276;821;744
1277;816;741
1278;816;741
1279;814;738
1280;814;738
1281;815;737
1282;814;737
1283;815;735
1284;814;735
1285;815;733
1286;815;732
1287;816;731
1288;816;731
1289;817;729
1290;819;725
1291;820;725
1292;820;725
1293;821;727
1294;820;727
1295;822;727
1296;822;727
1297;823;727
1298;823;727
1299;825;727
1300;825;727
1301;826;728
1302;826;728
1303;827;728
1304;827;728
1305;827;731
1306;827;731
1307;827;732
1308;828;732
1309;829;733
1310;829;733
1311;829;734
1312;830;734
1313;833;734
1314;835;734
1315;840;732
1316;840;732
1317;846;728
1318;846;728
1319;849;724
1320;849;723
1321;850;720
1322;851;719
1323;851;719
1324;852;718
1325;854;717
1326;854;717
1327;855;718
1328;855;718
1329;857;717
1330;858;717
1331;859;717
1332;859;717
1333;861;717
1334;861;717
1335;863;717
1336;863;717
1337;864;717
1338;863;717
1339;867;717
1340;867;718
1341;869;718
1342;869;718
1343;871;719
1344;871;719
1345;880;717
1346;881;717
1347;891;713
1348;891;713
1349;897;709
1350;897;709
1351;902;707
1352;902;706
1353;908;704
1354;908;704
1355;911;703
1356;911;703
1357;917;702
1358;917;702
1359;923;701
1360;926;701
1361;933;701
1362;933;701
1363;937;700
1364;938;701
1365;942;701
1366;942;701
1367;947;700
1368;948;701
1369;950;701
1370;950;701
1371;953;701
1372;956;701
1373;958;701
1374;958;701
1375;961;701
1376;962;701
1377;964;702
1378;965;702
1379;966;702
1380;967;702
1381;970;703
1382;970;703
1383;972;704
1384;972;704
1385;973;703
1386;973;703
1387;982;703
1388;982;703
1389;989;699
1390;989;699
1391;993;698
1392;993;697
1393;997;696
1394;998;696
1395;1003;696
1396;1003;696
1397;1008;695
1398;1008;695
1399;1011;696
1400;1011;696
1401;1016;697
1402;1016;697
1403;1020;697
1404;1021;697
1405;1024;698
1406;1025;698
1407;1028;698
1408;1028;698
1409;1035;699
1410;1035;699
1411;1039;700
1412;1039;700
1413;1042;701
1414;1043;701
1415;1047;701
1416;1047;701
1417;1044;702
1418;1044;702
1419;1044;702
1420;1044;702
1421;1045;702
1422;1046;704
1423;1050;704
1424;1050;705
1425;1058;706
1426;1057;706
1427;1060;708
1428;1059;708
1429;1059;708
1430;1059;709
1431;1059;709
1432;1059;709
1433;1059;709
1434;1059;709
1435;1057;709
1436;1057;709
1437;1057;709
1438;1057;709
1439;1057;709
1440;1056;709
1441;1056;709
1442;1056;709
1443;1054;710
1444;1055;709
1445;1054;710
1446;1054;710
1447;1053;711
1448;1053;711
1449;1052;713
1450;1052;713
1451;1046;715
1452;1045;715
1453;1037;714
1454;1037;714
1455;1032;713
1456;1032;713
1457;1030;713
1458;1029;713
1459;1028;713
1460;1028;713
1461;1025;713
1462;1025;713
1463;1022;713
1464;1022;713
1465;1019;712
1466;1019;712
1467;1016;711
1468;1015;712
1469;1012;711
1470;1012;711
1471;1008;712
1472;1008;712
1473;1004;712
1474;1002;712
1475;998;713
1476;999;713
1477;994;713
1478;993;713
1479;989;714
1480;989;714
1481;985;715
1482;985;715
1483;982;716
1484;982;716
1485;980;717
1486;978;717
1487;977;718
1488;977;718
1489;973;719
1490;972;720
1491;970;720
1492;970;720
1493;967;721
1494;968;721
1495;964;721
1496;965;721
1497;962;721
1498;962;721
1499;960;722
1500;960;722
1501;956;722
1502;956;722
1503;953;722
1504;953;722
1505;950;723
1506;950;723
1507;947;723
1508;947;723
1509;945;724
1510;944;724
1511;942;725
1512;941;725
1513;939;726
1514;938;726
1515;936;727
1516;936;727
1517;933;727
1518;933;727
1519;929;727
1520;929;727
1521;927;728
1522;926;728
1523;923;728
1524;924;728
1525;919;728
1526;919;728
1527;917;728
1528;917;728
1529;913;728
1530;913;728
1531;910;727
1532;910;727
1533;906;727
1534;906;727
1535;903;727
1536;903;727
1537;900;728
1538;900;728
1539;898;728
1540;897;728
1541;895;729
1542;895;729
1543;893;729
1544;893;729
1545;891;730
1546;891;730
1547;889;731
1548;889;731
1549;886;732
1550;886;732
1551;886;731
1552;886;731
1553;885;731
1554;884;732
1555;882;732
1556;882;732
1557;880;732
1558;880;732
1559;878;732
1560;878;732
1561;876;732
1562;876;732
1563;873;732
1564;873;732
1565;872;733
1566;872;733
1567;870;733
1568;870;733
1569;868;733
1570;868;734
1571;866;734
1572;866;734
1573;865;735
1574;865;735
1575;863;736
1576;864;736
1577;863;736
1578;863;736
1579;863;736
1580;863;736
1581;862;736
1582;862;736
1583;862;736
1584;862;736
1585;859;737
1586;858;737
1587;857;738
1588;858;737
1589;856;739
1590;856;739
1591;855;740
1592;855;740
1593;854;740
1594;854;740
1595;857;740
1596;856;740
1597;856;740
1598;856;740
1599;854;739
1600;853;739
1601;851;739
1602;850;739
1603;848;739
1604;848;739
1605;848;739
1606;848;739
1607;846;738
1608;846;738
1609;845;739
1610;845;738
1611;844;739
1612;844;739
1613;842;739
1614;841;739
1615;840;739
1616;840;739
1617;839;740
1618;838;740
1619;838;741
1620;838;741
1621;836;742
1622;836;742
1623;835;743
1624;835;743
1625;837;744
1626;837;744
1627;837;745
1628;838;745
1629;838;746
1630;838;746
1631;835;746
1632;835;746
1633;834;747
1634;833;747
1635;831;747
1636;831;747
1637;831;747
1638;831;747
1639;828;747
1640;827;747
1641;827;748
1642;826;747
1643;825;748
1644;824;748
1645;823;748
1646;822;748
1647;820;747
1648;821;748
1649;819;748
1650;819;748
1651;817;748
1652;817;748
1653;817;747
1654;817;747
1655;811;738
1656;812;739
1657;815;739
1658;815;739
1659;814;737
1660;814;737
1661;814;735
1662;814;735
1663;812;727
1664;812;727
1665;813;724
1666;813;724
1667;813;721
1668;813;721
1669;816;711
1670;815;711
1671;816;711
1672;816;710
1673;818;709
1674;818;709
1675;818;709
1676;817;712
1677;818;711
1678;818;711
1679;820;710
1680;820;710
1681;821;709
1682;822;707
1683;822;708
1684;822;708
1685;823;708
1686;823;708
1687;825;708
1688;825;707
1689;828;705
1690;827;705
1691;829;703
1692;829;703
1693;831;700
1694;831;700
1695;833;695
1696;833;695
1697;833;696
1698;833;696
1699;834;696
1700;834;696
1701;836;696
1702;836;695
1703;837;696
1704;837;696
1705;839;694
1706;839;694
1707;839;693
1708;839;693
1709;838;695
1710;838;695
1711;839;694
1712;839;694
1713;841;694
1714;841;694
1715;842;694
1716;842;694
1717;843;695
1718;843;695
1719;844;696
1720;844;696
1721;845;696
1722;845;697
1723;849;697
1724;850;696
1725;853;695
1726;853;695
1727;859;691
1728;860;691
1729;862;688
1730;862;688
1731;865;685
1732;865;685
1733;868;684
1734;867;684
1735;870;682
1736;870;682
1737;873;681
1738;874;681
1739;877;680
1740;878;680
1741;883;679
1742;883;679
1743;888;678
1744;888;678
1745;892;678
1746;892;678
1747;895;677
1748;896;677
1749;899;677
1750;899;677
1751;902;677
1752;903;677
1753;905;678
1754;906;677
1755;909;678
1756;909;678
1757;910;678
1758;910;678
1759;913;679
1760;913;679
1761;916;680
1762;916;680
1763;917;681
1764;917;681
1765;919;681
1766;919;681
1767;921;682
1768;921;682
1769;923;684
1770;923;684
1771;925;685
1772;925;685
1773;927;684
1774;927;685
1775;929;683
1776;929;683
1777;931;682
1778;932;682
1779;933;681
1780;932;680
1781;936;679
1782;936;679
1783;938;678
1784;939;678
1785;941;678
1786;942;677
1787;944;677
1788;946;677
1789;948;677
1790;948;677
1791;950;677
1792;952;677
1793;957;676
1794;957;676
1795;958;676
1796;959;676
1797;962;677
1798;961;677
1799;963;677
1800;962;678
1801;965;678
1802;965;678
1803;967;679
1804;967;679
1805;968;678
1806;969;678
1807;972;677
1808;973;677
1809;974;677
1810;975;677
1811;976;676
1812;977;676
1813;980;675
1814;980;675
1815;982;675
1816;982;675
1817;983;675
1818;984;675
1819;985;674
1820;985;674
1821;987;674
1822;987;674
1823;988;674
1824;989;674
1825;991;673
1826;990;674
